iter	Passed	Remaining
0	155	155398
1	160	80080
2	166	55220
3	170	42537
4	176	35098
5	181	30004
6	186	26395
7	191	23794
8	196	21607
9	200	19841
10	205	18445
11	210	17292
12	214	16290
13	219	15436
14	223	14697
15	228	14022
16	232	13446
17	237	12942
18	242	12495
19	246	12095
20	251	11720
21	255	11378
22	260	11076
23	265	10788
24	269	10518
25	273	10262
26	278	10039
27	282	9823
28	287	9620
29	292	9450
30	296	9262
31	300	9098
32	304	8937
33	307	8748
34	310	8569
35	312	8379
36	315	8206
37	318	8056
38	320	7885
39	321	7725
40	323	7572
41	325	7425
42	326	7276
43	328	7133
44	330	7005
45	331	6878
46	333	6753
47	334	6632
48	335	6516
49	337	6404
50	338	6297
51	339	6193
52	341	6093
53	342	5995
54	343	5905
55	345	5819
56	346	5733
57	348	5652
58	349	5571
59	350	5496
60	352	5420
61	353	5346
62	354	5275
63	355	5204
64	357	5136
65	358	5076
66	360	5018
67	361	4959
68	363	4900
69	364	4846
70	366	4790
71	367	4735
72	368	4681
73	369	4629
74	371	4578
75	372	4530
76	374	4489
77	378	4477
78	383	4467
79	389	4478
80	394	4473
81	399	4469
82	402	4444
83	407	4442
84	412	4441
85	417	4434
86	421	4423
87	423	4390
88	426	4361
89	428	4332
90	430	4299
91	433	4273
92	435	4243
93	436	4208
94	437	4172
95	439	4138
96	441	4105
97	442	4073
98	444	4041
99	445	4009
100	447	3978
101	448	3952
102	450	3921
103	451	3890
104	452	3860
105	454	3830
106	455	3802
107	456	3773
108	458	3744
109	459	3718
110	460	3691
111	462	3666
112	464	3642
113	465	3616
114	466	3591
115	467	3566
116	469	3539
117	470	3515
118	471	3491
119	472	3468
120	474	3444
121	475	3420
122	476	3398
123	478	3377
124	479	3355
125	480	3334
126	484	3331
127	489	3333
128	494	3339
129	499	3343
130	504	3348
131	510	3355
132	514	3351
133	517	3344
134	519	3331
135	522	3320
136	525	3308
137	527	3292
138	528	3276
139	530	3260
140	532	3245
141	533	3225
142	535	3208
143	536	3191
144	538	3175
145	540	3160
146	541	3143
147	543	3126
148	544	3108
149	545	3091
150	546	3074
151	547	3057
152	549	3040
153	551	3028
154	553	3015
155	554	2999
156	555	2984
157	557	2968
158	558	2953
159	559	2938
160	560	2920
161	561	2906
162	563	2892
163	564	2877
164	565	2864
165	567	2852
166	569	2838
167	570	2825
168	571	2811
169	573	2797
170	574	2787
171	576	2773
172	579	2769
173	585	2777
174	590	2782
175	595	2786
176	600	2790
177	605	2794
178	609	2793
179	612	2791
180	615	2786
181	618	2778
182	620	2769
183	622	2760
184	624	2750
185	626	2741
186	628	2731
187	630	2721
188	631	2710
189	633	2699
190	634	2688
191	636	2677
192	637	2666
193	639	2654
194	640	2643
195	641	2632
196	643	2621
197	644	2610
198	645	2598
199	646	2587
200	648	2575
201	649	2564
202	650	2553
203	651	2542
204	652	2531
205	654	2521
206	655	2511
207	656	2500
208	657	2489
209	659	2479
210	660	2469
211	661	2459
212	662	2449
213	664	2439
214	665	2428
215	666	2418
216	667	2408
217	668	2398
218	669	2389
219	671	2379
220	672	2371
221	676	2372
222	681	2375
223	690	2391
224	695	2394
225	699	2395
226	704	2399
227	710	2404
228	715	2409
229	721	2414
230	725	2414
231	727	2409
232	730	2404
233	732	2399
234	735	2393
235	737	2386
236	738	2378
237	740	2370
238	742	2362
239	743	2354
240	745	2346
241	746	2339
242	748	2331
243	750	2324
244	751	2316
245	752	2307
246	754	2299
247	755	2291
248	756	2283
249	758	2274
250	759	2266
251	761	2259
252	762	2251
253	764	2244
254	765	2236
255	766	2228
256	768	2221
257	769	2213
258	770	2205
259	772	2197
260	773	2189
261	775	2183
262	776	2176
263	778	2169
264	779	2161
265	780	2153
266	781	2146
267	782	2138
268	784	2131
269	786	2125
270	787	2119
271	789	2113
272	794	2116
273	799	2118
274	803	2119
275	809	2123
276	814	2126
277	820	2129
278	825	2133
279	830	2134
280	832	2130
281	835	2127
282	837	2122
283	839	2117
284	841	2111
285	843	2105
286	845	2100
287	847	2094
288	849	2088
289	850	2082
290	852	2076
291	853	2070
292	855	2063
293	856	2057
294	858	2050
295	859	2044
296	861	2038
297	862	2031
298	864	2025
299	865	2019
300	867	2013
301	868	2007
302	869	2000
303	871	1994
304	872	1988
305	874	1982
306	875	1976
307	877	1970
308	879	1966
309	881	1961
310	882	1955
311	884	1949
312	885	1944
313	887	1938
314	888	1932
315	890	1926
316	891	1920
317	893	1915
318	895	1910
319	899	1912
320	904	1913
321	910	1917
322	915	1918
323	920	1919
324	926	1924
325	931	1925
326	936	1927
327	941	1928
328	944	1926
329	946	1922
330	949	1918
331	951	1914
332	956	1915
333	957	1910
334	959	1904
335	961	1899
336	962	1894
337	964	1888
338	966	1883
339	967	1878
340	969	1873
341	970	1867
342	971	1861
343	973	1855
344	974	1850
345	976	1845
346	977	1840
347	979	1834
348	980	1828
349	981	1823
350	983	1818
351	984	1813
352	986	1807
353	987	1802
354	988	1796
355	990	1791
356	991	1785
357	992	1780
358	993	1774
359	995	1769
360	996	1763
361	997	1758
362	1000	1754
363	1001	1750
364	1003	1745
365	1004	1739
366	1005	1734
367	1007	1729
368	1008	1724
369	1009	1719
370	1010	1713
371	1013	1710
372	1018	1711
373	1022	1712
374	1027	1712
375	1033	1715
376	1038	1716
377	1042	1716
378	1047	1716
379	1052	1717
380	1055	1715
381	1058	1712
382	1060	1708
383	1063	1705
384	1067	1705
385	1072	1705
386	1077	1706
387	1081	1706
388	1085	1705
389	1090	1705
390	1094	1705
391	1099	1704
392	1103	1704
393	1107	1703
394	1112	1703
395	1116	1702
396	1121	1703
397	1125	1702
398	1130	1702
399	1135	1703
400	1140	1702
401	1144	1702
402	1148	1701
403	1153	1701
404	1157	1699
405	1159	1696
406	1162	1694
407	1165	1691
408	1167	1687
409	1169	1683
410	1171	1679
411	1173	1674
412	1175	1670
413	1176	1665
414	1178	1661
415	1180	1657
416	1181	1652
417	1183	1647
418	1184	1642
419	1186	1638
420	1187	1633
421	1188	1628
422	1190	1623
423	1191	1618
424	1192	1613
425	1194	1608
426	1195	1604
427	1196	1598
428	1197	1593
429	1198	1588
430	1199	1584
431	1201	1579
432	1202	1574
433	1203	1569
434	1204	1564
435	1205	1559
436	1209	1558
437	1214	1558
438	1219	1558
439	1224	1558
440	1229	1558
441	1233	1557
442	1238	1557
443	1243	1557
444	1248	1557
445	1252	1555
446	1255	1552
447	1257	1549
448	1259	1545
449	1261	1541
450	1263	1537
451	1265	1533
452	1267	1530
453	1269	1526
454	1270	1521
455	1272	1517
456	1273	1513
457	1275	1509
458	1276	1504
459	1277	1499
460	1279	1495
461	1280	1490
462	1281	1486
463	1283	1482
464	1284	1478
465	1285	1473
466	1287	1469
467	1288	1464
468	1289	1460
469	1290	1455
470	1291	1451
471	1293	1446
472	1294	1442
473	1296	1438
474	1297	1434
475	1299	1430
476	1300	1425
477	1301	1421
478	1302	1417
479	1304	1412
480	1305	1408
481	1310	1407
482	1315	1408
483	1320	1407
484	1324	1406
485	1330	1406
486	1335	1406
487	1339	1405
488	1343	1404
489	1347	1402
490	1350	1399
491	1352	1396
492	1355	1393
493	1357	1390
494	1359	1386
495	1361	1383
496	1362	1379
497	1364	1375
498	1365	1371
499	1367	1367
500	1368	1363
501	1370	1359
502	1372	1355
503	1373	1351
504	1374	1347
505	1376	1343
506	1377	1339
507	1378	1335
508	1380	1331
509	1381	1327
510	1382	1322
511	1383	1318
512	1384	1314
513	1386	1310
514	1387	1306
515	1388	1302
516	1389	1298
517	1390	1294
518	1391	1289
519	1392	1285
520	1393	1281
521	1395	1277
522	1396	1273
523	1397	1269
524	1398	1265
525	1400	1262
526	1401	1258
527	1403	1254
528	1404	1250
529	1418	1257
530	1423	1257
531	1428	1256
532	1433	1255
533	1438	1255
534	1443	1254
535	1448	1254
536	1453	1253
537	1458	1252
538	1462	1250
539	1464	1247
540	1466	1244
541	1468	1241
542	1470	1237
543	1472	1234
544	1473	1230
545	1476	1227
546	1478	1224
547	1479	1220
548	1481	1216
549	1482	1213
550	1484	1209
551	1485	1205
552	1487	1202
553	1488	1198
554	1490	1195
555	1492	1191
556	1493	1187
557	1495	1184
558	1496	1180
559	1497	1176
560	1498	1172
561	1500	1169
562	1501	1165
563	1502	1161
564	1504	1158
565	1505	1154
566	1507	1151
567	1508	1147
568	1510	1143
569	1511	1140
570	1512	1136
571	1513	1132
572	1515	1129
573	1516	1125
574	1517	1121
575	1520	1118
576	1521	1115
577	1523	1112
578	1527	1110
579	1532	1109
580	1538	1109
581	1543	1108
582	1548	1107
583	1553	1106
584	1558	1105
585	1562	1103
586	1567	1102
587	1572	1101
588	1575	1099
589	1579	1097
590	1582	1095
591	1584	1092
592	1587	1089
593	1589	1086
594	1591	1083
595	1593	1079
596	1595	1076
597	1597	1073
598	1598	1070
599	1600	1066
600	1601	1063
601	1603	1059
602	1604	1056
603	1606	1052
604	1607	1049
605	1608	1045
606	1610	1042
607	1611	1038
608	1612	1035
609	1613	1031
610	1614	1028
611	1616	1024
612	1617	1021
613	1618	1017
614	1619	1014
615	1621	1010
616	1622	1007
617	1623	1003
618	1625	1000
619	1626	996
620	1627	993
621	1629	989
622	1630	986
623	1631	983
624	1632	979
625	1633	976
626	1634	972
627	1636	969
628	1637	965
629	1638	962
630	1639	958
631	1644	957
632	1649	956
633	1657	956
634	1662	955
635	1666	953
636	1672	953
637	1677	952
638	1683	950
639	1687	949
640	1692	947
641	1695	945
642	1697	942
643	1699	939
644	1702	936
645	1704	933
646	1705	930
647	1707	927
648	1709	924
649	1710	921
650	1712	918
651	1714	915
652	1715	911
653	1717	908
654	1718	905
655	1720	901
656	1721	898
657	1722	895
658	1723	891
659	1724	888
660	1726	885
661	1727	882
662	1728	878
663	1730	875
664	1731	872
665	1732	868
666	1733	865
667	1734	862
668	1735	858
669	1737	855
670	1738	852
671	1739	849
672	1740	845
673	1741	842
674	1743	839
675	1744	836
676	1745	832
677	1746	829
678	1747	826
679	1749	823
680	1750	819
681	1751	816
682	1752	813
683	1753	810
684	1755	807
685	1757	804
686	1762	803
687	1767	801
688	1772	799
689	1777	798
690	1782	796
691	1786	795
692	1790	793
693	1792	790
694	1795	787
695	1797	785
696	1799	782
697	1801	779
698	1803	776
699	1805	773
700	1806	770
701	1808	767
702	1809	764
703	1811	761
704	1812	758
705	1814	755
706	1815	752
707	1817	749
708	1818	746
709	1819	743
710	1821	740
711	1822	737
712	1823	733
713	1824	730
714	1825	727
715	1826	724
716	1828	721
717	1829	718
718	1830	715
719	1831	712
720	1832	709
721	1833	706
722	1835	703
723	1836	699
724	1837	696
725	1838	694
726	1840	690
727	1841	687
728	1842	684
729	1843	681
730	1844	678
731	1846	675
732	1847	673
733	1848	670
734	1850	667
735	1851	664
736	1852	661
737	1853	658
738	1854	655
739	1855	652
740	1857	649
741	1858	646
742	1859	643
743	1861	640
744	1863	637
745	1867	635
746	1872	634
747	1877	632
748	1882	630
749	1887	629
750	1891	627
751	1897	625
752	1902	623
753	1905	621
754	1908	619
755	1911	617
756	1914	614
757	1916	611
758	1918	609
759	1920	606
760	1922	603
761	1924	601
762	1926	598
763	1927	595
764	1928	592
765	1930	589
766	1932	586
767	1933	584
768	1934	581
769	1936	578
770	1937	575
771	1939	572
772	1940	569
773	1942	567
774	1943	564
775	1944	561
776	1945	558
777	1947	555
778	1948	552
779	1949	549
780	1951	547
781	1952	544
782	1954	541
783	1955	538
784	1956	535
785	1957	533
786	1958	530
787	1960	527
788	1961	524
789	1962	521
790	1963	518
791	1965	516
792	1966	513
793	1967	510
794	1972	508
795	1977	506
796	1982	504
797	1987	502
798	1991	501
799	1996	499
800	1999	496
801	2002	494
802	2004	491
803	2006	489
804	2008	486
805	2010	483
806	2011	481
807	2013	478
808	2015	475
809	2016	473
810	2018	470
811	2019	467
812	2021	464
813	2022	462
814	2024	459
815	2025	456
816	2026	453
817	2028	451
818	2029	448
819	2030	445
820	2031	442
821	2032	440
822	2034	437
823	2035	434
824	2036	431
825	2037	429
826	2039	426
827	2040	423
828	2041	421
829	2043	418
830	2044	415
831	2045	412
832	2046	410
833	2047	407
834	2048	404
835	2050	402
836	2051	399
837	2052	396
838	2053	394
839	2054	391
840	2056	388
841	2057	386
842	2058	383
843	2059	380
844	2060	378
845	2062	375
846	2063	372
847	2067	370
848	2072	368
849	2077	366
850	2082	364
851	2087	362
852	2092	360
853	2095	358
854	2098	355
855	2100	353
856	2103	350
857	2104	348
858	2106	345
859	2108	343
860	2110	340
861	2111	338
862	2113	335
863	2115	332
864	2116	330
865	2118	327
866	2119	325
867	2120	322
868	2121	319
869	2123	317
870	2124	314
871	2125	312
872	2126	309
873	2128	306
874	2129	304
875	2130	301
876	2132	299
877	2133	296
878	2134	293
879	2135	291
880	2136	288
881	2138	286
882	2139	283
883	2140	280
884	2141	278
885	2143	275
886	2144	273
887	2145	270
888	2146	268
889	2148	265
890	2149	262
891	2150	260
892	2151	257
893	2152	255
894	2153	252
895	2155	250
896	2156	247
897	2157	245
898	2159	242
899	2164	240
900	2169	238
901	2174	236
902	2179	234
903	2183	231
904	2188	229
905	2192	227
906	2194	225
907	2197	222
908	2199	220
909	2201	217
910	2203	215
911	2204	212
912	2206	210
913	2208	207
914	2209	205
915	2211	202
916	2212	200
917	2214	197
918	2215	195
919	2216	192
920	2218	190
921	2219	187
922	2220	185
923	2222	182
924	2223	180
925	2224	177
926	2225	175
927	2226	172
928	2228	170
929	2229	167
930	2230	165
931	2231	162
932	2233	160
933	2234	157
934	2235	155
935	2236	152
936	2237	150
937	2238	147
938	2240	145
939	2241	143
940	2242	140
941	2243	138
942	2244	135
943	2245	133
944	2247	130
945	2248	128
946	2250	125
947	2251	123
948	2252	121
949	2253	118
950	2254	116
951	2259	113
952	2264	111
953	2269	109
954	2274	107
955	2280	104
956	2284	102
957	2289	100
958	2296	98
959	2301	95
960	2306	93
961	2311	91
962	2313	88
963	2316	86
964	2318	84
965	2320	81
966	2322	79
967	2324	76
968	2326	74
969	2327	71
970	2329	69
971	2330	67
972	2332	64
973	2334	62
974	2335	59
975	2337	57
976	2338	55
977	2339	52
978	2341	50
979	2342	47
980	2343	45
981	2344	42
982	2346	40
983	2347	38
984	2348	35
985	2349	33
986	2350	30
987	2352	28
988	2353	26
989	2354	23
990	2355	21
991	2356	19
992	2358	16
993	2359	14
994	2360	11
995	2361	9
996	2362	7
997	2364	4
998	2365	2
999	2370	0
